"Id","NameEn","NameUk","NamePt","CountryCode","RegionEn","RegionUk","RegionPt","Latitude","Longitude","Population","NameEs","RegionEs"
"686850","Zorkino","Зоркіне","Zorkino","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.54762","34.71028","1099","Zorkino","República autónoma de Crimea"
"686852","Zorynsk","Zoryns’k","Zorynsk","UA","Luhansk","Луганська Область","Oblast de Lugansk","48.41194","38.62361","7096","Zorynsk","Oblast de Lugansk"
"686856","Zorykivka","Zorykivka","Zorykivka","UA","Luhansk","Луганська Область","Oblast de Lugansk","49.40302","39.83798","824","Zorykivka","Oblast de Lugansk"
"686860","Zoloti Prudy","Золоті Пруди","Zoloti Prudy","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.73187","37.02175","746","Zoloti Prudy","Óblast de Donetsk"
"686863","Zolotyi Potik","Золотий Потік","Zolotyi Potik","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","48.90672","25.3419","2363","Zolotyi Potik","Óblast de Ternópil"
"686866","Zolotoye Pole","Золоте Поле","Zolotoye Pole","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.12774","34.99148","2543","Zolotoye Pole","República autónoma de Crimea"
"686868","Zolote","Zolote","Zolote","UA","Luhansk","Луганська Область","Oblast de Lugansk","48.69516","38.51512","13007","Zolote","Oblast de Lugansk"
"686870","Zolotarivka","Золотарівка","Zolotarivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.00398","38.18774","1240","Zolotarivka","Óblast de Donetsk"
"686875","Zolotonosha","Золотоноша","Zolotonosha","UA","Cherkasy","Черкаська область","Oblast de Tcherkássi","49.66926","32.03637","27818","Zolotonosha","Óblast de Cherkasy"
"686877","Zolotnyky","Золотники","Zolotnyky","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","49.28692","25.38397","1789","Zolotniki","Óblast de Ternópil"
"686890","Zolotarivka","Золотарівка","Zolotarivka","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.98768","33.09225","635","Zolotarivka","Óblast de Kirovogrado"
"686891","Zolotarivka","Золотарівка","Zolotarivka","UA","Luhansk","Луганська Область","Oblast de Lugansk","48.87686","38.27261","631","Zolotarivka","Oblast de Lugansk"
"686895","Zolochiv","Золочів","Zolochiv","UA","Kharkiv","Харківська Область","Oblast de Kharkiv","50.27331","35.97755","7744","Zolochiv","Óblast de Járkov"
"686896","Zolochiv","Золочів","Zolochiv","UA","Lviv","Львівська Область","Oblast de Lviv","49.8074","24.90376","22608","Zolochiv","Óblast de Leópolis"
"686902","Znyats’ovo","Зняцьово","Znyats’ovo","UA","Zakarpattia","Закарпатська Область","Oblast da Transcarpátia","48.48426","22.51467","1707","Znyats’ovo","Óblast de Transcarpacia"
"686906","Znob Novhorodske","Зноб Новгородське","Znob Novhorodske","UA","Sumy","Сумська Область","Oblast de Sumi","52.26291","33.6016","1830","Znob Novhorodske","Óblast de Sumy"
"686915","Znamyanka Druha","Знам’янка Друга","Znamyanka Druha","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.71157","32.59655","5038","Znamyanka Druha","Óblast de Kirovogrado"
"686919","Znamyanka","Знам’янка","Znamyanka","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.72066","32.65822","22444","Znamyanka","Óblast de Kirovogrado"
"686924","Mostove","Мостове","Mostove","UA","Mykolaiv","Миколаївська область","Oblast de Mykolaiv","47.4179","30.99232","2008","Mostove","Óblast de Mikoláyiv"
"686928","Zmiiv","Зміїв","Zmiiv","UA","Kharkiv","Харківська Область","Oblast de Kharkiv","49.69689","36.36207","13737","Zmiiv","Óblast de Járkov"
"686932","Zlynka","Злинка","Zlynka","UA","Kirovohrad","Кіровоградська область","Oblast de Kirovogrado","48.48418","31.5383","4981","Zlynka","Óblast de Kirovogrado"
"686937","Zlazne","Злазне","Zlazne","UA","Rivne Oblast","Рівненська Область","Rivne","50.93194","26.21581","1593","Zlazne","Óblast de Rivne"
"686938","Zlatoustove","Златоустове","Zlatoustove","UA","Odesa","Одеська Область","Oblast de Odessa","46.99205","31.02222","525","Zlatoustove","Óblast de Odesa"
"686956","Zymohiria","Зимогір’я","Zymohiria","UA","Luhansk","Луганська Область","Oblast de Lugansk","48.58528","38.9375","9557","Zimogiria","Oblast de Lugansk"
"686961","Zymna Voda","Зимна Вода","Zymna Voda","UA","Lviv","Львівська Область","Oblast de Lviv","49.82625","23.88222","11365","Zymna Voda","Óblast de Leópolis"
"686963","Zimino","Зимине","Zimino","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.50797","33.51431","1000","Zimino","República autónoma de Crimea"
"686967","Zhytomyr","Житомир","Zhytomyr","UA","Zhytomyr Oblast","Житомирська Область","Zhytomyr","50.26235","28.67913","261624","Zhytomyr","Zhytomyr"
"686969","Zhvyrka","Zhvyrka","Zhvyrka","UA","Lviv","Львівська Область","Oblast de Lviv","50.46597","24.26726","3562","Zhvyrka","Óblast de Leópolis"
"686970","Zhvanets","Жванець","Zhvanets","UA","Khmelnytskyi","Хмельницька область","Oblast de Khmelnitski","48.54968","26.48744","1529","Zhvanets","Óblast de Jmelnitski"
"686973","Zhvan","Жван","Zhvan","UA","Vinnytsia","Вінницька область","Oblast de Vinnytsia","48.61604","27.47989","892","Zhvan","Óblast de Vínnytsia"
"686992","Zhuravno","Журавно","Zhuravno","UA","Lviv","Львівська Область","Oblast de Lviv","49.26002","24.28193","3302","Zhuravno","Óblast de Leópolis"
"686993","Zhuravnyky","Журавники","Zhuravnyky","UA","Volyn","Волинська Область","Oblast de Volínia","50.4299","24.68874","842","Zhuravnyky","Óblast de Volyn"
"686997","Zhuravlykha","Журавлиха","Zhuravlykha","UA","Kyiv Oblast","Київська область","Kiev","49.41702","30.34587","1293","Zhuravlykha","Oblast de Kyiv"
"687001","Zhuravlivka","Журавлівка","Zhuravlivka","UA","Vinnytsia","Вінницька область","Oblast de Vinnytsia","48.64127","28.72332","1360","Zhuravlivka","Óblast de Vínnytsia"
"687005","Zhuravki","Журавки","Zhuravki","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.12629","35.21513","2666","Zhuravki","República autónoma de Crimea"
"687009","Zhuravka","Журавка","Zhuravka","UA","Chernihiv Oblast","Чернігівська","Oblast de Tchernihiv","50.48108","32.5949","3012","Zhuravka","Óblast de Chernígov"
"687011","Zhuravka","Журавка","Zhuravka","UA","Cherkasy","Черкаська область","Oblast de Tcherkássi","49.28251","31.1846","650","Zhuravka","Óblast de Cherkasy"
"687014","Zhuravychi","Журавичі","Zhuravychi","UA","Volyn","Волинська Область","Oblast de Volínia","50.98016","25.71931","1309","Zhuravychi","Óblast de Volyn"
"687036","Zhukiv","Жуків","Zhukiv","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","49.51445","24.94042","883","Zhúkiv","Óblast de Ternópil"
"687044","Zhuky","Zhuky","Zhuky","UA","Poltava","Полтавська область","Oblast de Poltava","49.67471","34.5019","1027","Zhuky","Óblast de Poltava"
"687045","Zhuky","Zhuky","Zhuky","UA","Poltava","Полтавська область","Oblast de Poltava","49.41996","33.16716","653","Zhuky","Óblast de Poltava"
"687065","Blahodatne","Жовтневе","Blahodatne","UA","Volyn","Волинська Область","Oblast de Volínia","50.66365","24.24918","4652","Blahodatne","Óblast de Volyn"
"687069","Slobozhanske","Zhovtneve","Slobozhanske","UA","Kharkiv","Харківська Область","Oblast de Kharkiv","50.1843","36.42403","1173","Slobozhanske","Óblast de Járkov"
"687073","Pokrovske","Zhovtneve","Pokrovske","UA","Poltava","Полтавська область","Oblast de Poltava","49.64403","34.13317","2363","Pokrovske","Óblast de Poltava"
"687075","Muksha Kytaihorodska","Muksha Kytaihorodska","Muksha Kytaihorodska","UA","Khmelnytskyi","Хмельницька область","Oblast de Khmelnitski","48.6701","26.61628","2170","Muksha Kytaihorodska","Óblast de Jmelnitski"
"687077","Makedonivka","Makedonivka","Makedonivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","47.24287","37.5552","817","Makedonivka","Óblast de Donetsk"
"687080","Karakurt","Каракурт","Karakurt","UA","Odesa","Одеська Область","Oblast de Odessa","45.64063","28.70511","2707","Karakurt","Óblast de Odesa"
"687086","Kvitneve","Квітневе","Kvitneve","UA","Zhytomyr Oblast","Житомирська Область","Zhytomyr","49.99229","29.51681","609","Kvitneve","Zhytomyr"
"687088","Yezupil","Єзупіль","Yezupil","UA","Ivano-Frankivsk","Івано-Франківська область","Oblast de Ivano-Frankivsk","49.04154","24.78102","2792","Yezupil","Óblast de Ivano-Frankivsk"
"687090","Petrovirivka","Петровірівка","Petrovirivka","UA","Odesa","Одеська Область","Oblast de Odessa","47.23792","30.32701","2954","Petrovirivka","Óblast de Odesa"
"687091","Zhovtantsi","Zhovtantsi","Zhovtantsi","UA","Lviv","Львівська Область","Oblast de Lviv","49.99135","24.24477","3469","Zhovtantsi","Óblast de Leópolis"
"687092","Zhovnyne","Жовнине","Zhovnyne","UA","Cherkasy","Черкаська область","Oblast de Tcherkássi","49.38091","32.68108","1058","Zhovnyne","Óblast de Cherkasy"
"687093","Zhovkva","Жовква","Zhovkva","UA","Lviv","Львівська Область","Oblast de Lviv","50.05751","23.97346","13852","Zhovkva","Óblast de Leópolis"
"687095","Zhorzhivka","Zhorzhivka","Zhorzhivka","UA","Poltava","Полтавська область","Oblast de Poltava","49.93323","34.21949","634","Zhorzhivka","Óblast de Poltava"
"687110","Zhniatyno","Жнятино","Zhniatyno","UA","Zakarpattia","Закарпатська Область","Oblast da Transcarpátia","48.35368","22.59419","2243","Zhniatyno","Óblast de Transcarpacia"
"687116","Zhmerynka","Жмеринка","Zhmerynka","UA","Vinnytsia","Вінницька область","Oblast de Vinnytsia","49.03523","28.11405","34498","Zhmerynka","Óblast de Vínnytsia"
"687142","Zhylivka","Zhylivka","Zhylivka","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.34234","26.43124","725","Zhylivka","Chernivtsi"
"687155","Zavodske","Заводське","Zavodske","UA","Ternopil","Тернопільська Область","Oblast de Ternopil","48.99888","25.85369","3352","Zavodske","Óblast de Ternópil"
"687170","Zherebkove","Жеребкове","Zherebkove","UA","Odesa","Одеська Область","Oblast de Odessa","47.84021","29.87475","1967","Zherebkove","Óblast de Odesa"
"687190","Zhemchuzhina","Жемчужина","Zhemchuzhina","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.27466","34.65778","971","Zhemchuzhina","República autónoma de Crimea"
"687191","Zhelyabovka","Желябовка","Zhelyabovka","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.39877","34.75776","2669","Zhelyabovka","República autónoma de Crimea"
"687193","Zhovtyi Yar","Жовтий Яр","Zhovtyi Yar","UA","Odesa","Одеська Область","Oblast de Odessa","45.86623","29.92683","772","Zhovtyi Yar","Óblast de Odesa"
"687196","Zhovti Vody","Жовті Води","Zhovti Vody","UA","Dnipropetrovsk","Дніпропетровська область","Dnipropetrovsk","48.34518","33.49743","42052","Zhovti Vody","Dnipropetrovsk"
"687198","Zhovte","Zhovte","Zhovte","UA","Luhansk","Луганська Область","Oblast de Lugansk","48.64896","39.10942","1312","Zhovte","Oblast de Lugansk"
"687199","Zhovte","Жовте","Zhovte","UA","Dnipropetrovsk","Дніпропетровська область","Dnipropetrovsk","48.49555","33.54441","1797","Zhovte","Dnipropetrovsk"
"687231","Zhdeniyevo","Жденієво","Zhdeniyevo","UA","Zakarpattia","Закарпатська Область","Oblast da Transcarpátia","48.7734","22.97228","1102","Zhdeniyevo","Óblast de Transcarpacia"
"687233","Zhdany","Ждани","Zhdany","UA","Poltava","Полтавська область","Oblast de Poltava","50.20149","33.21177","1004","Zhdany","Óblast de Poltava"
"687237","Zhdanivka","Zhdanivka","Zhdanivka","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.1532","38.25692","11867","Zhdanivka","Óblast de Donetsk"
"687245","Zhashkiv","Жашків","Zhashkiv","UA","Cherkasy","Черкаська область","Oblast de Tcherkássi","49.2459","30.09888","13242","Zhashkiv","Óblast de Cherkasy"
"687251","Zhadove","Stary Zhadov","Zhadove","UA","Chernihiv Oblast","Чернігівська","Oblast de Tchernihiv","52.05257","32.69178","1246","Zhadove","Óblast de Chernígov"
"687256","Stara Zhadova","Стара Жадова","Stara Zhadova","UA","Chernivtsi","Чернівецька область","Oblast de Chernivtsi","48.2","25.51667","2392","Stara Zhadova","Chernivtsi"
"687277","Zhurivka","Згурівка","Zhurivka","UA","Kyiv Oblast","Київська область","Kiev","50.50193","31.77687","4868","Zhurivka","Oblast de Kyiv"
"687284","Zernovoye","Зернове","Zernovoye","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","45.32364","34.48099","1023","Zernovoye","República autónoma de Crimea"
"687289","Zintsi","Zintsi","Zintsi","UA","Poltava","Полтавська область","Oblast de Poltava","49.53967","34.61946","856","Zintsi","Óblast de Poltava"
"687292","Zinkiv","Зіньків","Zinkiv","UA","Poltava","Полтавська область","Oblast de Poltava","50.20987","34.35952","9514","Zinkiv","Óblast de Poltava"
"687298","Zemlianky","Zemlyanky","Zemlianky","UA","Donetsk","Донецька Область","Oblast de Donetsk","48.1295","37.91331","1712","Zemlianky","Óblast de Donetsk"
"687301","Zemlyanichnoye","Земляничне","Zemlyanichnoye","UA","Crimea","Республіка Крим","República Autónoma da Crimeia","44.97444","34.83553","660","Zemlyanichnoye","República autónoma de Crimea"
"687306","Zelen","Zelen’","Zelen","UA","Rivne Oblast","Рівненська Область","Rivne","51.69188","26.20601","626","Zelen","Óblast de Rivne"
"687309","Zelenyy Yar","Зелений Яр","Zelenyy Yar","UA","Mykolaiv","Миколаївська область","Oblast de Mykolaiv","47.68713","31.00218","904","Zelenyy Yar","Óblast de Mikoláyiv"
"687348","Zelenyy Hay","Zelenyy Hay","Zelenyy Hay","UA","Mykolaiv","Миколаївська область","Oblast de Mykolaiv","47.23916","31.56918","566","Zelenyy Hay","Óblast de Mikoláyiv"
"687351","Zelenyi Hai","Zelenyy Hay","Zelenyi Hai","UA","Zaporizhzhia","Запорізька область","Oblast de Zaporíjia","47.01775","34.71152","641","Zelenyi Hai","Óblast de Zaporiyia"
"687355","Zeleni Koshary","Зелені Кошари","Zeleni Koshary","UA","Mykolaiv","Миколаївська область","Oblast de Mykolaiv","47.88146","30.84018","707","Zeleni Koshary","Óblast de Mikoláyiv"
"687357","Ahronomiya","Агрономія","Ahronomiya","UA","Mykolaiv","Миколаївська область","Oblast de Mykolaiv","47.77007","31.31184","1035","Ahronomiya","Óblast de Mikoláyiv"
"687371","Zelene Pole","Zelene Pole","Zelene Pole","UA","Donetsk","Донецька Область","Oblast de Donetsk","47.82673","36.62275","578","Zelene Pole","Óblast de Donetsk"
